,acc_phone_accelerometerAccelerationX(G),acc_phone_accelerometerAccelerationY(G),acc_phone_accelerometerAccelerationZ(G),gyr_phone_gyroRotationX(rad/s),gyr_phone_gyroRotationY(rad/s),gyr_phone_gyroRotationZ(rad/s),mag_phone_motionMagneticFieldX,mag_phone_motionMagneticFieldY,mag_phone_motionMagneticFieldZ,press_phone_altimeterPressure(kPa)
2017-06-07 09:18:31.351,-0.0084533692500000004,0.022468566999999998,-0.99163436925000004,-0.00949044075,-0.00710491425,0.12077056025,-4.6151046755,18.52973175,-34.665870665,100.553
2017-06-07 09:18:31.601,-0.010704040499999999,-0.0025634767499999999,-0.98823547349999996,-0.00987087325,-0.0053324475,0.003505985,-4.76498413075,18.810180665,-34.718940735,100.553
2017-06-07 09:18:31.851,-0.011047363249999999,-0.00283813475,-0.99163818324999997,-0.00987093975,-0.00559856375,0.0035055855,-4.99001312275,18.90275192,-34.829948425,100.553
2017-06-07 09:18:32.101,-0.0097999572499999996,-0.0018234254999999998,-0.99209213249999995,-0.010404837,-0.004800481,0.00350944725,-4.8400268555,19.0161590575,-34.9979476925,100.5531
2017-06-07 09:18:32.351,-0.010723114000000001,-0.0023956299999999997,-0.99046325700000004,-0.00933531175,-0.00639744525,0.0040347555,-5.10256958025,18.9772224425,-35.016441345,100.5531
2017-06-07 09:18:32.601,-0.010159301599999998,-0.0012481689999999999,-0.99195251439999998,-0.0110972324,-0.0046952596,0.0040994038,-5.140020752,19.232101442,-35.17504883,100.5531
2017-06-07 09:18:32.851,-0.0105781555,-0.0022125242499999999,-0.99223709074999999,-0.014677413,-0.0040042625,0.00353195075,-5.252479553,19.313987735,-35.1814498875,100.553125
2017-06-07 09:18:33.101,-0.010417938000000002,-0.0012283325000000001,-0.99025344849999997,-0.012005996,-0.003737214,0.0037855505,-5.25244140625,19.5578155525,-35.3477554325,100.5532
2017-06-07 09:18:33.351,-0.010238647600000001,-0.00050659160000000002,-0.99079895019999997,-0.0106705408,-0.0042689404,0.0038846996,-5.3349426272,19.576123048,-35.38110962,100.5532
2017-06-07 09:18:33.601,-0.010631561500000001,-0.0016212462499999999,-0.99189758299999997,-0.0109379355,-0.004268914,0.00377942475,-5.21488189725,19.72680664,-35.43989563,100.5532
